State Code,State,Case Number,County Code,County,Monthid,Month,Day,Day of Month,Day of Week,Weekday,Year,Hour,Hour Range,Minute,Minute Digit,Latitude,Latitudeid,Longitude,Longitudeid,Light Conditionid,Light Condition,Weatherid,Weather Condition,Number of Deaths
37,North Carolina,370103,161,RUTHERFORD (161),1,January,15,15,6,Friday,2021,17,5:00pm-5:59pm,9,9,35.399025,35.399025,-81.823175,-81.823175,1,Daylight,1,Clear,1
37,North Carolina,370104,171,SURRY (171),1,January,23,23,7,Saturday,2021,22,10:00pm-10:59pm,52,52,36.49194722,36.49194722,-80.73861389,-80.73861389,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370105,179,UNION (179),1,January,1,1,6,Friday,2021,3,3:00am-3:59am,49,49,35.097575,35.097575,-80.30729167,-80.30729167,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",2
37,North Carolina,370106,179,UNION (179),1,January,21,21,5,Thursday,2021,21,9:00pm-9:59pm,47,47,35.00562222,35.00562222,-80.65389167,-80.65389167,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370107,179,UNION (179),1,January,26,26,3,Tuesday,2021,16,4:00pm-4:59pm,0,0,35.16076667,35.16076667,-80.56847778,-80.56847778,1,Daylight,5,"Fog, Smog, Smoke",1
37,North Carolina,370108,179,UNION (179),1,January,1,1,6,Friday,2021,12,12:00pm-12:59pm,39,39,34.96614444,34.96614444,-80.50583056,-80.50583056,1,Daylight,10,Cloudy,1
37,North Carolina,370109,179,UNION (179),1,January,3,3,1,Sunday,2021,7,7:00am-7:59am,24,24,35.00170556,35.00170556,-80.54494444,-80.54494444,4,Dawn,5,"Fog, Smog, Smoke",1
37,North Carolina,370110,181,VANCE (181),1,January,10,10,1,Sunday,2021,23,11:00pm-11:59pm,23,23,36.31216944,36.31216944,-78.37930556,-78.37930556,3,Dark - Lighted,1,Clear,1
37,North Carolina,370111,183,WAKE (183),1,January,3,3,1,Sunday,2021,12,12:00pm-12:59pm,56,56,35.90901111,35.90901111,-78.65214444,-78.65214444,1,Daylight,10,Cloudy,1
37,North Carolina,370112,185,WARREN (185),1,January,27,27,4,Wednesday,2021,8,8:00am-8:59am,26,26,36.42678333,36.42678333,-78.29074722,-78.29074722,1,Daylight,10,Cloudy,1
