ST_CASE,STATENAME,COUNTYNAME,CITYNAME,PEDS,FATALS,Date,LATITUDE,LONGITUD
370265,North Carolina,MOORE ,ABERDEEN,1,1,2021-03-13,35.1511,-79.41770278
370266,North Carolina,NASH ,NOT APPLICABLE,0,1,2021-03-07,35.86415556,-78.05843611
370267,North Carolina,NEW HANOVER ,NOT APPLICABLE,0,1,2021-03-08,34.12590833,-77.89948611
370268,North Carolina,NEW HANOVER ,WILMINGTON,0,1,2021-03-13,34.23384167,-77.93645278
370269,North Carolina,NEW HANOVER ,WILMINGTON,0,1,2021-03-30,34.22242222,-77.82070556
370270,North Carolina,HERTFORD ,NOT APPLICABLE,0,1,2021-03-19,36.28785833,-77.17738611
370271,North Carolina,ONSLOW ,NOT APPLICABLE,0,1,2021-03-01,34.61976667,-77.59252778
370272,North Carolina,ONSLOW ,JACKSONVILLE,0,1,2021-03-05,34.75197222,-77.44613056
370273,North Carolina,ONSLOW ,NOT APPLICABLE,0,1,2021-03-02,34.71470833,-77.22931111
370274,North Carolina,ONSLOW ,NOT APPLICABLE,0,1,2021-03-21,34.73498056,-77.238425
370275,North Carolina,ONSLOW ,NOT APPLICABLE,0,2,2021-03-25,34.81930278,-77.52782778
370276,North Carolina,ORANGE ,NOT APPLICABLE,0,1,2021-03-31,36.21673056,-79.17903333
370277,North Carolina,PASQUOTANK ,NOT APPLICABLE,0,2,2021-03-21,36.364925,-76.29084722
370278,North Carolina,PITT ,NOT APPLICABLE,0,1,2021-03-09,77.7777,777.7777
370279,North Carolina,PITT ,NOT APPLICABLE,0,1,2021-03-13,35.547925,-77.42801389
370280,North Carolina,RANDOLPH ,TRINITY,1,1,2021-03-15,35.87288056,-80.02292778
370281,North Carolina,RICHMOND ,NOT APPLICABLE,0,1,2021-03-17,34.82765556,-79.72934167
370282,North Carolina,ROBESON ,NOT APPLICABLE,0,1,2021-03-04,34.83663333,-79.02673889
370283,North Carolina,ROBESON ,NOT APPLICABLE,0,1,2021-03-12,34.66253333,-79.07867222
370284,North Carolina,ROBESON ,NOT APPLICABLE,0,1,2021-03-11,34.85034444,-79.11908611
370285,North Carolina,ROBESON ,NOT APPLICABLE,0,2,2021-03-24,34.84216944,-79.08857222
370286,North Carolina,ROBESON ,NOT APPLICABLE,0,2,2021-03-29,34.56227222,-79.31418611
370287,North Carolina,ROCKINGHAM ,NOT APPLICABLE,0,1,2021-03-11,36.32961389,-79.60402778
370288,North Carolina,SAMPSON ,NOT APPLICABLE,0,1,2021-03-05,35.21081111,-78.32211944
370289,North Carolina,SCOTLAND ,NOT APPLICABLE,0,1,2021-03-14,34.69870278,-79.44180833
370290,North Carolina,STANLY ,NOT APPLICABLE,0,1,2021-03-08,35.40786667,-80.25933889
370291,North Carolina,SURRY ,NOT APPLICABLE,1,1,2021-03-22,36.40705833,-80.49794722
370292,North Carolina,UNION ,MARSHVILLE,0,1,2021-03-04,35.10540833,-80.40208333
370293,North Carolina,UNION ,WAXHAW,0,1,2021-03-16,34.92620556,-80.73616111
370294,North Carolina,VANCE ,NOT APPLICABLE,0,1,2021-03-08,36.394425,-78.337425
370295,North Carolina,WAKE ,NOT APPLICABLE,2,1,2021-03-05,35.80716667,-78.52883889
370296,North Carolina,WAKE ,NOT APPLICABLE,1,1,2021-03-23,35.61055278,-78.59896667
370297,North Carolina,WAKE ,NOT APPLICABLE,0,1,2021-03-13,35.89589444,-78.50663056
